observation_date,IPG3113N
1972-01-01,85.6945
1972-01-31,78.75725
1972-02-01,71.82
1972-02-29,68.92145
1972-03-01,66.0229
1972-03-31,65.2937
1972-04-01,64.5645
1972-04-30,64.78725
1972-05-01,65.01
1972-05-31,66.32835
1972-06-01,67.6467
1972-06-30,68.34479999999999
1972-07-01,69.0429
1972-07-31,69.93995000000001
1972-08-01,70.837
1972-08-31,72.9416
1972-09-01,75.0462
1972-09-30,90.98755
1972-10-01,106.9289
1972-10-31,106.26255
1972-11-01,105.5962
1972-11-30,105.78174999999999
1972-12-01,105.9673
1972-12-31,98.6335
1973-01-01,91.2997
1973-01-31,84.28485
1973-02-01,77.27
1973-02-28,73.4405
1973-03-01,69.611
1973-03-31,69.9548
1973-04-01,70.2986
1973-04-30,70.9904
1973-05-01,71.6822
1973-05-31,73.27285
1973-06-01,74.8635
1973-06-30,73.45495
1973-07-01,72.0464
1973-07-31,72.6106
1973-08-01,73.1748
1973-08-31,76.88315
1973-09-01,80.5915
1973-09-30,91.75575
1973-10-01,102.92
1973-10-31,106.08619999999999
1973-11-01,109.2524
1973-11-30,107.2367
1973-12-01,105.221
1973-12-31,96.95975
1974-01-01,88.6985
1974-01-31,86.15415
1974-02-01,83.6098
1974-02-28,80.41990000000001
1974-03-01,77.23
1974-03-31,72.27545
1974-04-01,67.3209
1974-04-30,70.97025
1974-05-01,74.6196
1974-05-31,77.1027
1974-06-01,79.5858
1974-06-30,72.82130000000001
1974-07-01,66.0568
1974-07-31,68.6216
1974-08-01,71.1864
1974-08-31,70.6807
1974-09-01,70.175
1974-09-30,84.6981
1974-10-01,99.2212
1974-10-31,100.17065
1974-11-01,101.1201
1974-11-30,94.00655
1974-12-01,86.893
1974-12-31,76.95235
1975-01-01,67.0117
1975-01-31,59.85405
1975-02-01,52.6964
1975-02-28,51.682649999999995
1975-03-01,50.6689
1975-03-31,55.2151
1975-04-01,59.7613
1975-04-30,60.2945
1975-05-01,60.8277
1975-05-31,62.0953
1975-06-01,63.3629
1975-06-30,62.8359
1975-07-01,62.3089
1975-07-31,64.6055
1975-08-01,66.9021
1975-08-31,66.61105
1975-09-01,66.32
1975-09-30,81.33054999999999
1975-10-01,96.3411
1975-10-31,100.9848
1975-11-01,105.6285
1975-11-30,103.90520000000001
1975-12-01,102.1819
1975-12-31,95.06985
1976-01-01,87.9578
1976-01-31,81.5728
1976-02-01,75.1878
1976-02-29,68.59895
1976-03-01,62.0101
1976-03-31,63.24295000000001
1976-04-01,64.4758
1976-04-30,67.51060000000001
1976-05-01,70.5454
1976-05-31,69.37700000000001
1976-06-01,68.2086
1976-06-30,68.7604
1976-07-01,69.3122
1976-07-31,70.4522
1976-08-01,71.5922
1976-08-31,74.24975
1976-09-01,76.9073
1976-09-30,92.40610000000001
1976-10-01,107.9049
1976-10-31,109.78165
1976-11-01,111.6584
1976-11-30,112.81195
1976-12-01,113.9655
1976-12-31,105.6585
1977-01-01,97.3515
1977-01-31,93.6799
1977-02-01,90.0083
1977-02-28,83.6477
1977-03-01,77.2871
1977-03-31,76.6665
1977-04-01,76.0459
1977-04-30,76.98875000000001
1977-05-01,77.9316
1977-05-31,78.11965000000001
1977-06-01,78.3077
1977-06-30,77.0889
1977-07-01,75.8701
1977-07-31,77.02615
